name,selling_price,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,450000,2014,145500,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5
Skoda Rapid 1.5 TDI Ambition,370000,2014,120000,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,5
Honda City 2017-2020 EXi,158000,2006,140000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,5
Hyundai i20 Sportz Diesel,225000,2010,127000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5
Maruti Swift VXI BSIII,130000,2007,120000,Petrol,Individual,Manual,First Owner,16.1 kmpl,1298 CC,88.2 bhp,5
Hyundai Xcent 1.2 VTVT E Plus,440000,2017,45000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5
Maruti Wagon R LXI DUO BSIII,96000,2007,175000,LPG,Individual,Manual,First Owner,17.3 km/kg,1061 CC,57.5 bhp,5
Maruti 800 DX BSII,45000,2001,5000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4
Toyota Etios VXD,350000,2011,90000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,5
Ford Figo Diesel Celebration Edition,200000,2013,169000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,5
Renault Duster 110PS Diesel RxL,500000,2014,68000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5
Maruti Zen LX,92000,2005,100000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,5
Maruti Swift Dzire VDi,280000,2009,140000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Maruti Swift 1.3 VXi,200000,2007,80000,Petrol,Individual,Manual,Second Owner,,,,
Maruti Wagon R LXI Minor,180000,2009,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5
Mahindra KUV 100 mFALCON G80 K8 5str,400000,2016,40000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,5
Maruti Ertiga SHVS VDI,778000,2016,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,7
Hyundai i20 1.4 CRDi Asta,500000,2012,53000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5
Maruti Alto LX,150000,2002,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,2016,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5
Mahindra Verito 1.5 D4 BSIII,174000,2011,100000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,5
Honda WR-V i-DTEC VX,950000,2017,50000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,5
Maruti Swift Dzire ZDI,525000,2015,40000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5
Maruti SX4 ZDI,600000,2012,72000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,5
